timestamp,country,country_iso2,country_iso3,water_use_per_capita_annual_m3,water_use_per_capita_annual_litres,water_use_per_capita_annual_gallons,population_people,total_water_use_litres,total_water_use_gallons
01/01/11 00:00,United States,US,USA,1630,1630000,358550,322203000,5.25191E+14,1.15526E+14
01/01/11 00:00,Estonia,EE,EST,1400,1400000,307957,1313271,1.83858E+12,4.04431E+11
01/01/11 00:00,New Zealand,NZ,NZL,1190,1190000,261763,4630600,5.51041E+12,1.21212E+12
01/01/11 00:00,Canada,CA,CAN,1130,1130000,248565,35851774,4.05125E+13,8.91151E+12
01/01/11 00:00,Italy,IT,ITA,910,910000,200172,60725000,5.52598E+13,1.21554E+13
01/01/11 00:00,Portugal,PT,PRT,870,870000,191373,10374822,9.0261E+12,1.98546E+12
01/01/11 00:00,Greece,GR,GRC,850,850000,186974,10846979,9.21993E+12,2.0281E+12
01/01/11 00:00,Mexico,MX,MEX,750,750000,164977,121005000,9.07538E+13,1.9963E+13
01/01/11 00:00,Spain,ES,ESP,730,730000,160578,46439864,3.39011E+13,7.4572E+12
01/01/11 00:00,Japan,JP,JAP,640,640000,140780,126890000,8.12096E+13,1.78636E+13
01/01/11 00:00,Netherlands,NL,NLD,640,640000,140780,16927800,1.08338E+13,2.3831E+12
01/01/11 00:00,Norway,NO,NOR,640,640000,140780,5189435,3.32124E+12,7.3057E+11
01/01/11 00:00,Turkey,TR,TUR,640,640000,140780,77695904,4.97254E+13,1.09381E+13
01/01/11 00:00,Australia,AU,AUS,630,630000,138581,23956300,1.50925E+13,3.31988E+12
01/01/11 00:00,Belgium,BE,BEL,570,570000,125382,11267581,6.42252E+12,1.41276E+12
01/01/11 00:00,Hungary,HU,HUN,540,540000,118783,9849000,5.31846E+12,1.1699E+12
01/01/11 00:00,France,FR,FRA,530,530000,116584,67107000,3.55667E+13,7.82358E+12
01/01/11 00:00,Slovenia,SI,SVN,410,410000,90187,2068596,8.48124E+11,1.86561E+11
01/01/11 00:00,Germany,DE,GER,400,400000,87988,81197500,3.2479E+13,7.14438E+12
01/01/11 00:00,Poland,PL,POL,310,310000,68190,38484000,1.193E+13,2.62424E+12
01/01/11 00:00,Czech Republic,CZ,CZE,180,180000,39594,10541466,1.89746E+12,4.17384E+11
01/01/11 00:00,Israel,IL,ISR,180,180000,39594,8419700,1.51555E+12,3.33374E+11
01/01/11 00:00,Ireland,IE,IRL,170,170000,37395,4635400,7.88018E+11,1.7334E+11
01/01/11 00:00,Great Britain,GB,GBR,140,140000,30796,64800000,9.072E+12,1.99556E+12
01/01/11 00:00,Denmark,DK,DNK,120,120000,26396,5678348,6.81402E+11,1.49887E+11
01/01/11 00:00,Slovakia,SK,SVK,110,110000,24197,5421349,5.96348E+11,1.31178E+11
01/01/11 00:00,Luxembourg,LU,LUX,90,90000,19797,562958,50666220000,11145010328
